frame, fps, time
619, 51.72503, 20.53403
620, 59.11913, 20.55095
621, 55.01155, 20.56912
622, 59.40006, 20.58596
623, 46.16805, 20.60762
624, 58.11926, 20.62482
625, 52.97171, 20.6437
626, 62.03474, 20.65982
627, 53.92871, 20.67837
628, 52.81783, 20.6973
629, 27.68319, 20.73342
630, 93.11854, 20.74416
631, 68.28735, 20.75881
632, 60.72752, 20.77527
633, 58.97617, 20.79223
634, 27.4228, 20.8287
635, 103.7883, 20.83833
636, 83.31251, 20.85033
637, 60.75334, 20.86679
638, 53.3248, 20.88555
639, 52.50171, 20.90459
640, 51.74376, 20.92392
641, 66.09386, 20.93905
642, 51.77591, 20.95836
643, 53.45307, 20.97707
644, 52.12134, 20.99626
645, 60.94588, 21.01266
646, 58.48295, 21.02976
647, 56.06953, 21.0476
648, 55.27916, 21.06569
649, 52.94086, 21.08458
650, 56.34755, 21.10233
651, 57.5639, 21.1197
652, 52.88766, 21.13861
653, 62.73526, 21.15454
654, 53.72012, 21.17316
655, 58.27506, 21.19032
656, 55.58953, 21.20831
657, 55.78801, 21.22623
658, 56.21135, 21.24402
659, 54.40992, 21.2624
660, 55.03577, 21.28057
661, 54.29471, 21.29899
662, 55.4078, 21.31704
663, 58.30224, 21.33419
664, 57.0223, 21.35173
665, 56.43659, 21.36945
666, 54.74053, 21.38771
667, 55.94093, 21.40559
668, 53.47594, 21.42429
669, 51.60225, 21.44367
670, 58.7924, 21.46068
671, 52.99136, 21.47955
672, 55.72272, 21.4975
673, 56.51633, 21.51519
674, 56.25879, 21.53296
675, 56.88929, 21.55054
676, 51.85915, 21.56983
677, 60.06728, 21.58647
678, 53.26516, 21.60525
679, 30.92337, 21.63758
680, 108.8613, 21.64677
681, 36.33721, 21.67429
682, 105.9659, 21.68373
683, 58.90322, 21.7007
684, 57.01254, 21.71824
685, 56.224, 21.73603
686, 55.55864, 21.75403
687, 56.90872, 21.7716
688, 56.84079, 21.7892
689, 54.34192, 21.8076
690, 57.51424, 21.82499
691, 57.4977, 21.84238
692, 57.66015, 21.85972
693, 50.96061, 21.87934
694, 51.5783, 21.89873
695, 23.45711, 21.94136
696, 109.9022, 21.95046
697, 73.13684, 21.96413
698, 55.66069, 21.9821
699, 54.26525, 22.00053
700, 51.62356, 22.0199
701, 56.27145, 22.03767
702, 56.18609, 22.05547
703, 57.78343, 22.07277
704, 56.94761, 22.09033
705, 50.33472, 22.1102
706, 54.67767, 22.12849
707, 54.7016, 22.14677
708, 54.36555, 22.16516
709, 56.29679, 22.18293
710, 56.70863, 22.20056
711, 55.58644, 22.21855
712, 57.0646, 22.23608
713, 56.76657, 22.25369
714, 54.93902, 22.27189
715, 55.54321, 22.2899
716, 59.26628, 22.30677
717, 52.93806, 22.32566
718, 57.51754, 22.34305
719, 55.50622, 22.36106
720, 58.37712, 22.37819
721, 57.16572, 22.39569
722, 53.57047, 22.41435
723, 54.04237, 22.43286
724, 59.49194, 22.44967
725, 56.04753, 22.46751
726, 55.95971, 22.48538
727, 56.46846, 22.50309
728, 56.29996, 22.52085
729, 56.224, 22.53863
730, 56.54509, 22.55632
731, 57.38222, 22.57375
732, 56.15454, 22.59155
733, 54.79752, 22.6098
734, 56.2493, 22.62758
735, 54.23288, 22.64602
736, 53.47022, 22.66472
737, 54.98433, 22.68291
738, 57.07437, 22.70043
739, 53.43593, 22.71914
740, 55.35566, 22.73721
741, 57.23116, 22.75468
742, 56.58669, 22.77235
743, 54.13306, 22.79083
744, 56.62194, 22.80849
745, 54.80353, 22.82673
746, 52.81783, 22.84567
747, 59.24171, 22.86255
748, 51.88606, 22.88182
749, 55.53704, 22.89983
750, 55.9159, 22.91771
751, 54.00443, 22.93623
752, 55.32504, 22.9543
753, 48.33253, 22.97499
754, 55.80046, 22.99291
755, 56.10413, 23.01074
756, 55.9691, 23.0286
757, 54.96317, 23.0468
758, 53.93743, 23.06534
759, 54.28882, 23.08376
760, 56.09154, 23.10159
761, 55.74757, 23.11952
762, 55.22421, 23.13763
763, 55.10249, 23.15578
764, 52.16212, 23.17495
765, 47.81258, 23.19587
766, 56.94761, 23.21342
767, 57.07111, 23.23095
768, 52.23296, 23.25009
769, 55.1116, 23.26824
770, 56.85048, 23.28583
771, 54.56728, 23.30415
772, 52.29305, 23.32327
773, 56.97356, 23.34083
774, 48.82097, 23.36131
775, 60.48509, 23.37784
776, 56.46846, 23.39555
777, 55.12679, 23.41369
778, 54.04821, 23.43219
779, 53.66246, 23.45083
780, 55.24862, 23.46893
781, 55.49697, 23.48695
782, 54.69861, 23.50523
783, 32.95653, 23.53557
784, 90.78529, 23.54659
785, 55.90652, 23.56447
786, 54.93902, 23.58268
787, 52.7037, 23.60165
788, 55.9378, 23.61953
789, 55.10856, 23.63767
790, 53.94616, 23.65621
791, 53.90255, 23.67476
792, 54.00151, 23.69328
793, 57.03205, 23.71082
794, 55.58335, 23.72881
795, 50.0125, 23.7488
796, 56.33168, 23.76655
797, 56.44296, 23.78427
798, 52.07248, 23.80347
799, 32.30809, 23.83443
800, 101.5538, 23.84427
801, 53.17169, 23.86308
802, 55.85968, 23.88098
803, 51.09601, 23.90055
804, 51.35579, 23.92003
805, 56.57709, 23.9377
806, 55.34953, 23.95577
807, 55.17546, 23.97389
808, 31.07134, 24.00608
809, 104.4277, 24.01565
810, 54.77651, 24.03391
811, 54.56133, 24.05224
812, 54.61198, 24.07055
813, 52.7454, 24.08951
814, 55.38939, 24.10756
815, 54.2417, 24.126
816, 55.40473, 24.14404
817, 52.33684, 24.16315
818, 55.35872, 24.18122
819, 53.34472, 24.19996
820, 49.33643, 24.22023
821, 55.35872, 24.2383
822, 54.6717, 24.25659
823, 51.45621, 24.27602
824, 56.96058, 24.29358
825, 51.97775, 24.31282
826, 53.94325, 24.33135
827, 56.73759, 24.34898
828, 49.995, 24.36898
829, 58.51375, 24.38607
830, 54.51077, 24.40442
831, 54.33011, 24.42282
832, 53.14908, 24.44164
833, 55.85968, 24.45954
834, 54.01026, 24.47805
835, 52.63435, 24.49705
836, 55.15416, 24.51518
837, 52.3478, 24.53429
838, 54.22112, 24.55273
839, 53.516, 24.57141
840, 53.59919, 24.59007
841, 55.7072, 24.60802
842, 54.57026, 24.62635
843, 53.57621, 24.64501
844, 53.2113, 24.66381
845, 53.94325, 24.68234
846, 53.53606, 24.70102
847, 52.01561, 24.72025
848, 54.16531, 24.73871
849, 54.42177, 24.75708
850, 53.25948, 24.77586
851, 54.37738, 24.79425
852, 54.99038, 24.81244
853, 52.17845, 24.8316
854, 53.19149, 24.8504
855, 53.93743, 24.86894
856, 51.78128, 24.88825
857, 56.04124, 24.9061
858, 54.0161, 24.92461
859, 53.98985, 24.94313
860, 55.30973, 24.96121
861, 53.38743, 24.97994
862, 52.68426, 24.99892
863, 50.21593, 25.01884
864, 56.80527, 25.03644
865, 53.93161, 25.05498
866, 54.06574, 25.07348
867, 51.11952, 25.09304
868, 54.08036, 25.11153
869, 54.46326, 25.12989
870, 54.17705, 25.14835
871, 52.17845, 25.16751
872, 54.37738, 25.18591
873, 53.08419, 25.20474
874, 53.80973, 25.22333
875, 53.15473, 25.24214
876, 49.81568, 25.26221
877, 60.15761, 25.27884
878, 53.1265, 25.29766
879, 51.78128, 25.31697
880, 54.50779, 25.33532
881, 50.10522, 25.35528
882, 50.23359, 25.37519
883, 53.52459, 25.39387
884, 52.4714, 25.41293
885, 51.92647, 25.43218
886, 50.18317, 25.45211
887, 54.89378, 25.47033
888, 53.28502, 25.48909
889, 54.05405, 25.50759
890, 54.42473, 25.52597
891, 52.50171, 25.54501
892, 54.85764, 25.56324
893, 53.95781, 25.58178
894, 51.5916, 25.60116
895, 54.16825, 25.61962
896, 53.4931, 25.63831
897, 52.43563, 25.65738
898, 53.94616, 25.67592
899, 52.87089, 25.69484
900, 50.83109, 25.71451
901, 54.62988, 25.73281
902, 51.03864, 25.75241
903, 52.91005, 25.77131
904, 55.98164, 25.78917
905, 53.43307, 25.80788
906, 52.49895, 25.82693
907, 50.99699, 25.84654
908, 46.50946, 25.86804
909, 51.75716, 25.88736
910, 51.28468, 25.90686
911, 55.08731, 25.92501
912, 53.90836, 25.94357
913, 54.66871, 25.96186
914, 54.76151, 25.98012
915, 51.36898, 25.99958
916, 50.15297, 26.01952
917, 55.20592, 26.03764
918, 53.64807, 26.05628
919, 53.4188, 26.075
920, 54.08621, 26.09349
921, 54.29471, 26.11191
922, 53.91417, 26.13045
923, 55.02366, 26.14863
924, 49.07494, 26.169
925, 54.59409, 26.18732
926, 49.8778, 26.20737
927, 50.53312, 26.22716
928, 49.6475, 26.2473
929, 54.73454, 26.26557
